,Conf. ID,Criterion,N_Estimators,Max_Depth,Max_Features,P1,P2,P3,P4,P5,Promedio
67,67,entropy,100,10,sqrt,0.5,0.55,0.6,0.475,0.475,0.52
68,68,entropy,100,10,log2,0.425,0.575,0.525,0.525,0.475,0.505
69,69,entropy,100,3,auto,0.45,0.65,0.525,0.575,0.575,0.555
70,70,entropy,100,3,sqrt,0.55,0.675,0.6,0.575,0.625,0.6050000000000001
71,71,entropy,100,3,log2,0.55,0.65,0.575,0.575,0.625,0.595
72,72,entropy,150,None,auto,0.425,0.625,0.475,0.5,0.375,0.48
73,73,entropy,150,None,sqrt,0.425,0.6,0.575,0.55,0.45,0.52
74,74,entropy,150,None,log2,0.425,0.6,0.55,0.5,0.45,0.5050000000000001
75,75,entropy,150,5,auto,0.575,0.625,0.575,0.55,0.625,0.5900000000000001
76,76,entropy,150,5,sqrt,0.5,0.65,0.575,0.6,0.6,0.585
77,77,entropy,150,5,log2,0.5,0.625,0.55,0.55,0.6,0.5650000000000001
78,78,entropy,150,10,auto,0.4,0.6,0.525,0.525,0.475,0.505
79,79,entropy,150,10,sqrt,0.425,0.6,0.6,0.55,0.5,0.5349999999999999
80,80,entropy,150,10,log2,0.425,0.6,0.525,0.55,0.5,0.5199999999999999
81,81,entropy,150,3,auto,0.45,0.65,0.575,0.575,0.575,0.5650000000000001
82,82,entropy,150,3,sqrt,0.45,0.675,0.575,0.575,0.55,0.5650000000000001
83,83,entropy,150,3,log2,0.4,0.675,0.525,0.575,0.575,0.55
84,84,entropy,200,None,auto,0.425,0.525,0.575,0.55,0.525,0.52
85,85,entropy,200,None,sqrt,0.4,0.525,0.525,0.55,0.475,0.495
86,86,entropy,200,None,log2,0.475,0.575,0.575,0.525,0.5,0.53
87,87,entropy,200,5,auto,0.475,0.65,0.575,0.55,0.6,0.5700000000000001
88,88,entropy,200,5,sqrt,0.45,0.625,0.6,0.55,0.625,0.57
89,89,entropy,200,5,log2,0.6,0.6,0.6,0.55,0.625,0.595
90,90,entropy,200,10,auto,0.425,0.6,0.6,0.525,0.5,0.53
91,91,entropy,200,10,sqrt,0.475,0.575,0.55,0.525,0.475,0.52
92,92,entropy,200,10,log2,0.425,0.575,0.575,0.525,0.475,0.515
93,93,entropy,200,3,auto,0.525,0.625,0.55,0.575,0.575,0.57
94,94,entropy,200,3,sqrt,0.525,0.65,0.525,0.575,0.625,0.5800000000000001
95,95,entropy,200,3,log2,0.425,0.675,0.575,0.575,0.575,0.5650000000000001
